id,title,author,genry_type,genry,isbn
311,Switchable next generation middleware,Edgar Wright,fiction,Classic,978-1-62548-783-4
312,Implemented stable hierarchy,Sonya Gordon,nonfiction,Cookbook,978-0-439-76114-7
313,Extended responsive hub,Olivia Palmer,fiction,Satire,978-0-12-261914-4
314,Multi-lateral multi-state pricing structure,Blake Santos,fiction,Fairytale,978-1-71493-929-9
315,Programmable content-based data-warehouse,Harold Thornton,fiction,Mystery,978-0-604-42439-6
316,Monitored user-facing process improvement,Pedro Zavala,fiction,Paranormal romance,978-1-4265-9693-3
317,Secured leadingedge function,Yvette Schultz,nonfiction,Sports and leisure,978-1-83216-370-5
318,Re-contextualized contextually-based service-desk,Jeremiah Dominguez,fiction,Political thriller,978-0-213-19312-6
319,Monitored leadingedge access,Kristy Small,nonfiction,Memoir,978-0-7583-8254-2
320,Streamlined homogeneous artificial intelligence,Veronica Hart,nonfiction,Business/economics,978-0-343-51437-2
321,Seamless dedicated parallelism,Randy Mccann,fiction,Historical fiction,978-0-7966-6313-9
322,Enterprise-wide bifurcated ability,Rita Duncan,nonfiction,Journal,978-0-13-977279-5
323,Reactive motivating emulation,Sheri Page,nonfiction,Self help,978-1-178-18018-3
324,Phased impactful productivity,Theresa Barnett,fiction,Romance,978-1-04-565114-3
325,Grass-roots value-added framework,Jane Rivera,fiction,Children's,978-0-88444-063-5
326,Polarized impactful attitude,Chad Hudson,fiction,Mystery,978-0-05-880343-3
327,Automated content-based hardware,Lee Ford,nonfiction,Crafts/hobbies,978-0-608-17386-3
328,Innovative grid-enabled process improvement,Bryan Pittman,fiction,Thriller,978-0-13-082884-2
329,Public-key upward-trending application,Bill Kim,nonfiction,True crime,978-1-83756-550-4
330,Cloned user-facing open system,Samuel Barrett,fiction,Young adult,978-0-234-79684-9
331,Digitized national forecast,Bethany Bryant,nonfiction,Cookbook,978-0-8453-4480-4
332,Distributed foreground customer loyalty,Michele Hoffman,nonfiction,Memoir,978-0-7036-2644-8
333,Multi-channeled well-modulated capacity,Ellen Farmer,fiction,Drama,978-0-368-11252-2
334,Triple-buffered 3rdgeneration contingency,Kristen Spence,fiction,Young adult,978-1-369-38755-1
335,Vision-oriented leadingedge application,Shawna Dalton,nonfiction,Sports and leisure,978-1-84121-952-3
336,Cross-platform neutral orchestration,Taylor Rowe,nonfiction,Health/fitness,978-1-4719-7186-0
337,Switchable disintermediate firmware,Catherine Conrad,fiction,Drama,978-0-7327-2888-5
338,Horizontal global complexity,Harry Cunningham,nonfiction,True crime,978-1-306-05248-1
339,Down-sized context-sensitive neural-net,Sheena Collins,nonfiction,Diary,978-1-103-60136-3
340,Secured eco-centric data-warehouse,Becky Miranda,fiction,Horror,978-1-03-522231-5
341,Business-focused attitude-oriented synergy,Louis Shannon,fiction,Alternate history,978-1-76474-375-4
342,Cross-group full-range forecast,Morgan Lynch,nonfiction,Biography,978-0-640-79826-0
343,Cloned 24hour concept,Sheryl Hall,fiction,Coming-of-age,978-1-246-61463-3
344,Compatible motivating groupware,Sara Webster,nonfiction,Home and garden,978-0-393-35500-0
345,Up-sized disintermediate installation,Dorothy Brooks,fiction,Western,978-1-06-191964-7
346,Triple-buffered zero administration archive,Renee Reyes,nonfiction,Health/fitness,978-0-417-87484-5
347,Organized system-worthy budgetary management,Gloria Warner,nonfiction,True crime,978-1-906348-53-3
348,Ergonomic maximized framework,Katie Arroyo,nonfiction,Home and garden,978-1-80210-319-9
349,Cross-group multi-state neural-net,Johnathan Ruiz,fiction,Chick lit,978-1-233-93759-2
350,Customizable full-range system engine,Erika Mendoza,fiction,Anthology,978-1-963088-81-6
351,Polarized leadingedge infrastructure,Yolanda Chan,fiction,Comic book,978-1-277-88064-9
352,Realigned optimal framework,Derek Diaz,nonfiction,Cookbook,978-0-619-93484-2
353,Organic content-based collaboration,Theodore Mcmahon,fiction,Picture book,978-1-199-45947-3
354,Distributed well-modulated knowledge user,Gabriel Foley,fiction,Anthology,978-1-320-79881-5
355,Versatile next generation protocol,Kurt Burns,fiction,Chick lit,978-0-9643402-3-7
356,De-engineered clear-thinking challenge,Sonia Davenport,fiction,Children's,978-1-64745-153-0
357,Versatile dynamic focus group,Karl Cross,fiction,Mystery,978-1-176-46704-0
358,Digitized disintermediate open architecture,Gail Chung,nonfiction,Sports and leisure,978-1-4693-7471-0
359,Profit-focused 24/7 methodology,Damon Costa,fiction,Fairytale,978-0-7193-7267-4
360,Multi-tiered uniform synergy,Warren Powers,nonfiction,"Religion, spirituality, and new age",978-0-89629-850-7
361,Enhanced executive hub,Cassidy Marsh,fiction,Political thriller,978-1-79108-659-6
362,Open-architected discrete groupware,Leslie Macdonald,fiction,Poetry,978-0-398-71260-0
363,Seamless local orchestration,Antonio Zhang,nonfiction,Prayer,978-0-7519-6435-6
364,Total static encoding,Maxwell Daniels,nonfiction,Cookbook,978-0-7101-3755-5
365,Automated attitude-oriented project,Jasmine Flowers,fiction,Coming-of-age,978-1-284-99490-2
366,Secured hybrid alliance,Don Mora,fiction,Thriller,978-0-604-61881-8
367,Advanced tangible knowledge user,Alice Williamson,nonfiction,Autobiography,978-1-5198-8176-2
368,Synergistic bandwidth-monitored standardization,Kayla Boone,fiction,Satire,978-1-00-713311-3
369,Extended transitional workforce,Zachary Gibson,fiction,Children's,978-0-484-28045-7
370,Visionary bi-directional migration,Rebecca Joseph,nonfiction,True crime,978-0-339-88994-1
371,Optional actuating function,Barry Spencer,fiction,Western,978-0-205-06902-6
372,Optional didactic moderator,Meredith Guerrero,nonfiction,Textbook,978-0-7545-6212-2
373,Assimilated intangible data-warehouse,Virginia Cisneros,nonfiction,Diary,978-0-88603-676-8
374,Devolved static secured line,Alicia Drake,nonfiction,Journal,978-0-584-39904-2
375,Profound modular ability,Edward Pena,nonfiction,Prayer,978-1-929161-15-7
376,Reduced intermediate workforce,Kendra Carson,fiction,Satire,978-0-438-48833-5
377,Open-source system-worthy moratorium,Javier Snyder,fiction,Graphic novel,978-1-305-02941-5
378,Persistent optimizing forecast,Jesus Bender,fiction,Satire,978-0-9901259-9-0
379,Programmable grid-enabled capability,Kylie Stevens,nonfiction,Self help,978-0-85163-490-6
380,Enhanced contextually-based website,Chase Kelly,fiction,Fairytale,978-1-74314-936-2
381,Innovative fault-tolerant model,Hailey Mendez,fiction,Children's,978-1-70702-908-2
382,Self-enabling interactive ability,Adriana Henderson,fiction,Romance,978-1-105-70943-2
383,Distributed disintermediate pricing structure,Diana Bates,nonfiction,"Religion, spirituality, and new age",978-1-150-74278-1
384,Monitored regional support,Christie Wilcox,nonfiction,Autobiography,978-0-516-49920-8
385,Multi-lateral web-enabled hierarchy,Levi Sweeney,nonfiction,Travel,978-0-649-71770-5
386,Fundamental homogeneous leverage,Juan Huerta,fiction,Coming-of-age,978-0-624-49301-3
387,Fully-configurable exuding service-desk,Lacey Todd,fiction,Horror,978-1-04-747547-1
388,Enterprise-wide systematic toolset,Sydney Kline,nonfiction,Diary,978-0-481-42933-0
389,Expanded composite synergy,Willie Garrett,nonfiction,Self help,978-0-16-731983-2
390,Persistent well-modulated synergy,Carla Booth,fiction,Thriller,978-1-298-54196-3
391,User-centric contextually-based help-desk,Cheyenne Washington,fiction,Coming-of-age,978-0-612-93267-8
392,Vision-oriented zero administration interface,Jonathon Burch,fiction,Paranormal romance,978-0-7429-1275-5
393,Balanced web-enabled hierarchy,Tristan Porter,nonfiction,Autobiography,978-1-5151-4353-6
394,Synchronized transitional frame,Wesley Robertson,fiction,Comic book,978-1-60655-566-8
395,Centralized well-modulated migration,Marcia Bishop,nonfiction,Memoir,978-0-08-827161-5
396,Cross-platform client-server hub,Logan Friedman,fiction,Suspense,978-0-16-875808-1
397,Vision-oriented high-level encryption,Oscar Austin,fiction,Picture book,978-1-922914-63-7
398,Reverse-engineered object-oriented toolset,Mackenzie Santiago,fiction,Thriller,978-1-960680-51-8
399,Multi-channeled discrete extranet,Eileen Estrada,nonfiction,Home and garden,978-0-204-55516-2
400,Upgradable dedicated collaboration,Rodney Meyers,fiction,Drama,978-1-03-201922-2
401,Operative next generation core,Philip Duran,fiction,Political thriller,978-0-88300-329-9
402,Fully-configurable radical functionalities,Austin Mitchell,nonfiction,Business/economics,978-1-85898-160-4
403,Future-proofed systemic initiative,Aimee Pratt,fiction,Western,978-0-442-05255-3
404,Reduced explicit support,Ricardo Short,nonfiction,Business/economics,978-1-03-622525-4
405,Business-focused zero-defect middleware,Leonard Brandt,nonfiction,Review,978-0-313-04944-6
406,Re-contextualized attitude-oriented projection,Sandra Hines,nonfiction,"Religion, spirituality, and new age",978-1-5310-0522-1
407,Face-to-face 3rdgeneration moratorium,Brady Rivas,nonfiction,Health/fitness,978-1-210-29777-0
408,Pre-emptive responsive product,Kristina Jordan,nonfiction,Memoir,978-1-115-31403-9
409,Polarized zero-defect Internet solution,Sally Chen,nonfiction,Guide,978-1-996757-52-9
410,Exclusive hybrid Graphic Interface,Madison Ashley,nonfiction,True crime,978-1-4301-6989-5
411,Organized neutral help-desk,Carly Colon,fiction,Children's,978-1-371-47136-1
412,Ameliorated demand-driven attitude,Melody Rosales,nonfiction,Math,978-1-80172-694-8
413,Team-oriented real-time website,Mitchell Tate,fiction,Short story,978-1-222-48513-4
414,Upgradable regional installation,Maureen Evans,nonfiction,Math,978-0-603-90757-9
415,Networked regional knowledge user,Jerome Copeland,fiction,Classic,978-1-71501-877-1
416,Profound asynchronous framework,Leah Velasquez,fiction,Drama,978-0-12-673615-1
417,Customer-focused upward-trending leverage,Regina Rowland,fiction,Chick lit,978-1-76688-297-0
418,Managed methodical Graphic Interface,Stacey Horton,nonfiction,Cookbook,978-0-15-610220-9
419,Synergized multi-tasking model,Reginald Morris,fiction,Mystery,978-0-17-662442-2
420,Synergistic foreground hardware,Dan Johns,nonfiction,Self help,978-1-72983-605-7
421,Decentralized fresh-thinking matrix,Priscilla Rubio,fiction,Fantasy,978-1-5346-7850-7
422,Front-line responsive encoding,Albert Mcclain,fiction,Comic book,978-1-251-52910-6
423,Total bandwidth-monitored challenge,Cristian Patton,fiction,Science fiction,978-1-143-38145-4
424,Ergonomic needs-based info-mediaries,Dalton Fields,fiction,Young adult,978-1-63394-296-7
425,Right-sized fresh-thinking architecture,Julian Daniel,fiction,Picture book,978-0-19-892776-1
426,Reactive 6thgeneration open architecture,Devon Simon,fiction,Graphic novel,978-0-87637-631-7
427,Virtual discrete core,Roberta Ross,fiction,Chick lit,978-0-537-38389-0
428,Realigned bandwidth-monitored definition,Danny Huff,fiction,Action and adventure,978-0-00-154716-2
429,Total methodical open system,Daisy Larsen,fiction,Picture book,978-0-566-22072-2
430,Innovative neutral database,Paige Rosario,fiction,Young adult,978-1-03-549641-9
431,Versatile global contingency,Breanna Maynard,nonfiction,Business/economics,978-0-909994-57-0
432,Adaptive empowering methodology,Darrell Clarke,fiction,Poetry,978-0-656-07187-6
433,Team-oriented executive firmware,Kelli Castro,nonfiction,Health/fitness,978-1-08-137413-6
434,Object-based mission-critical orchestration,Jordan Lloyd,fiction,Coming-of-age,978-1-134-21669-7
435,Grass-roots intangible initiative,Dominique Norris,nonfiction,Cookbook,978-1-01-415069-1
436,Down-sized secondary workforce,Joyce Bass,nonfiction,Health/fitness,978-1-328-39679-2
437,Adaptive fresh-thinking knowledgebase,Hannah Manning,fiction,Paranormal romance,978-1-4741-7061-1
438,Customizable modular throughput,Darlene Levy,nonfiction,Art/architecture,978-1-78822-707-0
439,Optional full-range time-frame,Terri Webb,nonfiction,Math,978-1-69017-951-1
440,Visionary national workforce,Destiny Barker,nonfiction,Journal,978-0-13-923535-1
441,Realigned tangible groupware,Lindsey Mann,fiction,Horror,978-0-8335-3847-5
442,Optional mobile paradigm,Angelica Pearson,fiction,Anthology,978-0-07-279947-7
443,Synergized encompassing groupware,Alvin Pierce,nonfiction,Humor,978-0-02-872350-1
444,Distributed methodical structure,Carlos Vance,nonfiction,Math,978-0-87834-696-7
445,De-engineered didactic infrastructure,Tanya Owen,nonfiction,True crime,978-1-4473-0611-5
446,Re-engineered exuding open system,Stanley Frye,nonfiction,Math,978-0-7885-7542-6
447,Future-proofed cohesive process improvement,Nicolas Noble,nonfiction,Art/architecture,978-0-7641-4561-2
448,Streamlined attitude-oriented intranet,Ricky Dillon,fiction,Fairytale,978-1-250-90003-6
449,User-centric interactive hardware,Lonnie Meadows,nonfiction,Guide,978-1-991939-25-8
450,Realigned methodical analyzer,Laurie Potter,fiction,Graphic novel,978-0-406-11243-9
451,Innovative modular monitoring,Alexandria Montgomery,fiction,Comic book,978-0-333-58347-0
452,Multi-channeled scalable support,Diamond Pollard,nonfiction,Home and garden,978-1-5356-3578-3
453,Organic static paradigm,Dean Warren,nonfiction,History,978-1-899573-21-9
454,Compatible systemic definition,Edwin Bowers,fiction,Horror,978-0-399-34214-1
455,Business-focused bifurcated access,Jared Hancock,fiction,Graphic novel,978-1-62410-224-0
456,Centralized client-driven productivity,Roberto Reynolds,fiction,Fairytale,978-0-575-88138-9
457,Adaptive multi-tasking initiative,Cameron Melton,nonfiction,Textbook,978-0-229-96105-4
458,Organic responsive service-desk,Loretta Hays,fiction,Crime,978-0-7933-8903-2
459,Cloned fresh-thinking encryption,Cassie Chavez,fiction,Picture book,978-1-295-60113-4
460,Multi-layered multimedia alliance,Hunter Nielsen,nonfiction,Biography,978-0-14-944431-6
461,Adaptive directional implementation,Jenna Acevedo,nonfiction,Prayer,978-0-656-57194-9
462,Compatible client-driven knowledge user,Sheila Craig,nonfiction,Travel,978-1-59557-614-9
463,Universal demand-driven parallelism,Betty Steele,fiction,Alternate history,978-0-375-74313-9
464,Customer-focused dynamic implementation,Jean Silva,fiction,Paranormal romance,978-1-199-35347-4
465,Up-sized empowering capacity,Herbert Griffith,nonfiction,Journal,978-0-903396-96-7
466,Configurable 24/7 monitoring,Savannah Dickson,nonfiction,True crime,978-0-353-24748-2
467,Self-enabling encompassing knowledgebase,Brendan Ponce,fiction,Thriller,978-0-89295-566-4
468,Self-enabling intangible collaboration,Selena Walsh,nonfiction,True crime,978-1-64788-849-7
469,Business-focused grid-enabled system engine,Judith Bullock,nonfiction,Guide,978-0-341-54804-1
470,Visionary leadingedge firmware,Chloe Fitzpatrick,nonfiction,Dictionary,978-0-7743-4302-2
471,Triple-buffered object-oriented alliance,Garrett Blankenship,fiction,Crime,978-1-928532-90-3
472,User-friendly interactive array,Max Garner,nonfiction,Sports and leisure,978-0-9808814-5-5
473,Reduced coherent model,Randall Leon,nonfiction,Math,978-1-4217-8718-3
474,Quality-focused exuding website,Latoya Weber,fiction,Drama,978-1-69184-727-3
475,Versatile local forecast,Charlene Robbins,nonfiction,Guide,978-1-76700-136-3
476,Diverse impactful time-frame,Bridget Hubbard,nonfiction,Prayer,978-1-75256-602-0
477,Focused systemic function,Eugene Glenn,fiction,Fantasy,978-0-928920-33-8
478,Pre-emptive needs-based data-warehouse,Brittney Brennan,nonfiction,Business/economics,978-0-9716578-9-2
479,Persistent background matrix,Kaylee Carroll,nonfiction,Sports and leisure,978-1-79831-765-5
480,Focused disintermediate productivity,Bianca Keller,nonfiction,Textbook,978-0-8474-2237-1
481,Fundamental exuding monitoring,Clifford Hanson,fiction,Comic book,978-0-670-55093-7
482,Synergistic homogeneous contingency,Glen Mcclure,nonfiction,Math,978-0-528-01632-5
483,Re-engineered local open architecture,Connie Montoya,nonfiction,Art/architecture,978-1-916153-32-5
484,Centralized fresh-thinking website,Makayla Freeman,fiction,Political thriller,978-1-996784-09-9
485,Digitized exuding strategy,Traci Jarvis,fiction,Thriller,978-0-940692-24-4
486,Proactive even-keeled hierarchy,Joan Wade,fiction,Romance,978-1-64410-557-3
487,Realigned dedicated approach,Ariel Stokes,fiction,Thriller,978-1-935814-81-8
488,Public-key object-oriented portal,Brent Oconnor,nonfiction,Humor,978-1-78746-940-2
489,Team-oriented stable initiative,Connor Banks,nonfiction,Biography,978-0-03-414764-3
490,Exclusive encompassing help-desk,Jim Mcguire,nonfiction,Journal,978-0-671-06941-4
491,Object-based local knowledgebase,Kerry Singh,fiction,Historical fiction,978-1-00-412562-3
492,Mandatory tangible project,Joanna Oconnell,nonfiction,Guide,978-0-437-98827-0
493,Seamless analyzing framework,Devin Bentley,fiction,Thriller,978-0-403-94838-3
494,Grass-roots multimedia product,Grant Mccarty,nonfiction,Journal,978-0-508-69132-0
495,Persistent executive software,Marc Velez,fiction,Chick lit,978-0-08-581392-4
496,Up-sized tertiary hardware,Audrey Hooper,nonfiction,Health/fitness,978-1-139-98019-7
497,Optional hybrid forecast,Kaitlyn Rhodes,fiction,Fairytale,978-0-388-91414-4
498,Phased bifurcated leverage,Tony Howe,fiction,Graphic novel,978-0-9999220-3-3
499,Customer-focused reciprocal adapter,Johnny Rich,nonfiction,Self help,978-1-396-76701-2
500,Streamlined systemic structure,Ralph Stone,nonfiction,Dictionary,978-0-8334-9067-4
